epoch (ms),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category
2019-01-14 14:01:55.100,-0.045,-1.128,-0.187,-3.628,-16.4635,0.2745,C,row,medium
2019-01-14 14:01:55.200,-0.06,-1.1085,-0.107,-5.142333333333333,-9.004333333333333,0.06099999999999994,C,row,medium
2019-01-14 14:01:55.300,-0.061,-1.07,-0.107,-6.890499999999999,-8.872,-1.9509999999999998,C,row,medium
2019-01-14 14:01:55.400,-0.046,-1.024,-0.132,-5.02,-1.2806666666666666,0.549,C,row,medium
2019-01-14 14:01:55.500,-0.076,-1.032,-0.105,-5.0305,5.731999999999999,0.518,C,row,medium
2019-01-14 14:01:55.600,-0.071,-0.991,-0.125,-6.626,5.040666666666667,5.710999999999999,C,row,medium
2019-01-14 14:04:06.600,0.103,-0.944,-0.13,7.479666666666667,-5.061,1.5653333333333332,A,row,heavy
2019-01-14 14:04:06.700,0.112,-0.9315,-0.0735,1.89,-1.9814999999999998,3.3535,A,row,heavy
2019-01-14 14:04:06.800,0.129,-1.127,-0.135,12.113666666666667,-2.5203333333333333,4.817,A,row,heavy
2019-01-14 14:04:06.900,0.129,-1.221,-0.094,15.5185,-5.7620000000000005,4.390000000000001,A,row,heavy
2019-01-14 14:04:07.000,0.127,-1.278,-0.124,24.14633333333333,-11.646333333333333,0.8126666666666665,A,row,heavy
2019-01-14 14:04:07.100,0.14100000000000001,-1.3035,-0.11599999999999999,32.012,-2.4695,-14.756,A,row,heavy
2019-01-14 14:04:07.200,0.174,-1.271,0.036,20.711333333333332,-3.049,-16.931,A,row,heavy
2019-01-14 14:04:07.300,0.168,-1.172,0.062,23.689,-4.939,-13.4145,A,row,heavy
2019-01-14 14:04:07.400,0.188,-1.053,0.102,21.44333333333333,-2.6016666666666666,-4.3293333333333335,A,row,heavy
2019-01-14 14:04:07.500,0.128,-0.7805,0.153,15.5185,-5.0915,11.006499999999999,A,row,heavy
2019-01-14 14:04:07.600,0.042,-0.364,0.144,-5.813,-2.845333333333333,13.231666666666667,A,row,heavy
2019-01-14 14:04:07.700,0.037,-0.345,0.253,-16.921,-2.8049999999999997,-5.1525,A,row,heavy
2019-01-14 14:04:07.800,0.101,-0.637,0.111,-23.801,2.9873333333333334,-2.662333333333333,A,row,heavy
2019-01-14 14:04:07.900,0.162,-0.994,0.11649999999999999,-23.2315,6.311,1.311,A,row,heavy
2019-01-14 14:04:08.000,0.178,-1.144,0.006,-19.166666666666668,1.4633333333333336,12.317,A,row,heavy
2019-01-14 14:04:08.100,0.146,-1.148,0.007,-17.805,2.622,13.415,A,row,heavy
2019-01-14 14:04:08.200,0.148,-1.192,-0.029,-8.719333333333333,-0.46766666666666684,14.613999999999999,A,row,heavy
2019-01-14 14:04:08.300,0.124,-1.2959999999999998,-0.0935,5.5485,1.494,2.683,A,row,heavy
2019-01-14 14:04:08.400,0.137,-1.354,-0.151,15.223666666666666,-3.658333333333333,-4.187,A,row,heavy
2019-01-14 14:04:08.500,0.144,-1.339,-0.088,23.4755,-2.073,-9.5425,A,row,heavy
2019-01-14 14:04:08.600,0.138,-1.267,-0.035,27.926666666666666,-5.122,-12.622,A,row,heavy
2019-01-14 14:04:08.700,0.14800000000000002,-1.113,0.0635,32.713499999999996,2.3475,-4.1465,A,row,heavy
2019-01-14 14:04:08.800,0.109,-0.947,0.185,22.723333333333333,-11.524333333333333,-4.3293333333333335,A,row,heavy
2019-01-14 14:04:08.900,0.074,-0.806,0.188,15.3965,-19.36,-4.2989999999999995,A,row,heavy
2019-01-14 14:04:09.000,0.127,-0.587,0.145,-1.5040000000000002,4.0649999999999995,8.211333333333334,A,row,heavy
2019-01-14 14:04:09.100,0.06899999999999999,-0.4765,0.20400000000000001,-18.079,5.0305,-6.189,A,row,heavy
2019-01-14 14:04:09.200,0.124,-0.813,0.104,-20.650333333333332,3.6583333333333337,1.8090000000000002,A,row,heavy
2019-01-14 14:04:09.300,0.144,-0.972,0.121,-27.622,5.945499999999999,1.433,A,row,heavy
2019-01-14 14:04:09.400,0.162,-1.08,0.119,-23.719666666666665,0.5286666666666667,9.309,A,row,heavy
2019-01-14 14:04:09.500,0.16149999999999998,-1.117,0.0045000000000000005,-19.6645,1.4330000000000003,16.433,A,row,heavy
2019-01-14 14:04:09.600,0.132,-1.153,-0.032,-16.301,5.244,12.378,A,row,heavy
2019-01-14 14:04:09.700,0.126,-1.245,-0.037,-1.7374999999999998,-3.1704999999999997,5.4575,A,row,heavy
2019-01-14 14:04:09.800,0.105,-1.321,-0.142,16.179,-12.378333333333332,-2.8659999999999997,A,row,heavy
2019-01-14 14:04:09.900,0.11399999999999999,-1.347,-0.082,19.604,-1.555,-10.7315,A,row,heavy
2019-01-14 14:04:10.000,0.137,-1.28,-0.022,27.13433333333333,3.8209999999999997,-11.504,A,row,heavy
2019-01-14 14:04:10.100,0.139,-1.182,0.052,35.762,-9.1155,-14.3295,A,row,heavy
2019-01-14 14:04:10.200,0.138,-1.092,0.123,33.35333333333333,-8.048666666666668,-5.508,A,row,heavy
2019-01-14 14:04:10.300,0.1405,-0.873,0.1815,23.14,-3.323,-2.073,A,row,heavy
2019-01-14 14:04:10.400,0.081,-0.563,0.131,7.134333333333334,-3.8823333333333334,10.792666666666667,A,row,heavy
